date	AAPL	SPY	TSLA	MU	AXP	COST
2023-09-30	169.54925537109375	417.86566162109375	250.22000122070312	67.38612365722656	145.6248016357422	546.1107177734375
2023-10-31	169.1135711669922	408.7944030761719	200.83999633789062	66.34760284423828	143.12596130371094	534.0084228515625
2023-11-30	188.35531616210938	446.1352233886719	240.0800018310547	75.52533721923828	167.37396240234375	574.0153198242188
2023-12-31	190.9136505126953	466.5036315917969	248.47999572753906	84.78668212890625	183.61444091796875	653.7643432617188
2024-01-31	182.85191345214844	473.9334411621094	187.2899932861328	85.19403076171875	197.3836212158203	688.2313842773438
2024-02-29	179.4612579345703	498.6665344238281	201.8800048828125	90.02252960205078	215.75128173828125	737.8555908203125
2024-03-31	170.25735473632812	514.973876953125	175.7899932861328	117.23870086669922	223.88299560546875	726.6868896484375
2024-04-30	169.11553955078125	494.2103271484375	183.27999877929688	112.3359375	230.82994079589844	718.186767578125
2024-05-31	191.13815307617188	519.2073364257812	178.0800018310547	124.30941772460938	236.71832275390625	804.6095581054688
2024-06-30	209.4019317626953	537.5250244140625	197.8800048828125	130.8033447265625	228.38388061523438	844.4480590820312
2024-07-31	220.795654296875	544.033935546875	232.07000732421875	109.3088150024414	250.32342529296875	817.80322265625
2024-08-31	227.93917846679688	556.7456665039062	214.11000061035156	95.79200744628906	255.87315368652344	887.8238525390625
2024-09-30	231.92063903808594	568.4398803710938	261.6300048828125	103.22724914550781	268.2884521484375	881.9937744140625
2024-10-31	224.8634796142578	563.3673706054688	249.85000610351562	99.29782104492188	267.87860107421875	869.716796875
2024-11-30	236.49049377441406	596.962890625	345.1600036621094	97.60383605957031	302.1965637207031	968.2026977539062
2024-12-31	249.5341796875	582.5999145507812	403.8399963378906	83.97152709960938	294.3709411621094	912.80322265625
2025-01-31	235.16519165039062	598.2463989257812	404.6000061035156	91.0356674194336	315.6028137207031	976.1724853515625
2025-02-28	241.24948120117188	590.6517944335938	292.9800109863281	93.4203109741211	299.2087707519531	1045.796630859375
2025-03-31	221.58761596679688	557.7411499023438	259.1600036621094	86.80828857421875	267.48443603515625	943.2426147460938
2025-04-30	211.9811248779297	552.9054565429688	282.1600036621094	76.87763214111328	265.73907470703125	991.8318481445312
2025-05-31	200.622314453125	587.6527709960938	346.4599914550781	94.37117004394531	293.3094787597656	1038.740966796875
2025-06-30	204.93740844726562	617.8499755859375	317.6600036621094	123.13409423828125	318.17669677734375	988.5704345703125
2025-07-31	207.33470153808594	632.0800170898438	308.2699890136719	109.13999938964844	299.30999755859375	938.3400268554688
2025-08-31	232.13999938964844	645.0499877929688	333.8699951171875	119.01000213623047	331.2799987792969	943.3200073242188
