index	return	risk	AAPL	SPY	TSLA	MU	AXP	COST
0	0.019069282866792783	0.03503245687287486	0.14136969198280708	0.858630308017193	4.0361512104806075e-22	7.949034148541866e-22	1.0897079326143556e-21	4.382207319640944e-22
1	0.019264448134782834	0.03509642254781109	0.11808041938189016	0.8665138084801407	-2.7175522941577116e-20	-2.126223526026993e-19	-8.113535816865396e-21	0.01540577213796914
2	0.019459613402772885	0.03521793414151374	0.10507419472283522	0.8571992882518286	-2.6811526658688677e-20	-2.0978770596408449e-19	-8.002617867086516e-21	0.03772651702533621
3	0.019654778670762936	0.03536960587462172	0.10363420956689705	0.8464616613897186	-1.9432969128340757e-20	-2.0156924938671663e-19	0.008908700674925536	0.04099542836845879
4	0.019849943938752987	0.03552730039068084	0.10278127203297098	0.8356518043645543	-1.920339197208849e-20	-1.9862460064018668e-19	0.018269564868081917	0.04329735873439275
5	0.020045109206743038	0.035690887322106624	0.101928334499045	0.8248419473393901	-1.897312973936989e-20	-1.9568139863980639e-19	0.02763042906123828	0.045599289100326706
6	0.02024027447473309	0.03586028602918548	0.10107539696511927	0.8140320903142255	-1.8742474229020287e-20	-1.9272618611105396e-19	0.036991293254394604	0.047901219466260636
7	0.020435439742723143	0.036035414550365914	0.1002224594311933	0.8032222332890608	-1.8511910223423385e-20	-1.8978429315109435e-19	0.0463521574475513	0.05020314983219461
8	0.020630605010713194	0.03621618976375753	0.09936952189726729	0.7924123762638967	-1.8280425566324028e-20	-1.8683370834187003e-19	0.055713021640707606	0.05250508019812848
9	0.020825770278703245	0.03640252754491524	0.09851658436334139	0.7816025192387319	-1.8054202243625284e-20	-1.8389418479195288e-19	0.06507388583386417	0.054807010564062494
10	0.021020935546693296	0.036594342920432024	0.09766364682941549	0.7707926622135675	-1.7822099989024212e-20	-1.8094250751943485e-19	0.07443475002702064	0.05710894092999636
11	0.021216100814683347	0.03679155021691907	0.09681070929548942	0.7599828051884033	-1.7592270265339126e-20	-1.7799961903002906e-19	0.08379561422017687	0.059410871295930326
12	0.021411266082673398	0.03699406320500666	0.09595777176156343	0.7491729481632392	-1.7363966614522345e-20	-1.7505114711551683e-19	0.09315647841333326	0.06171280166186414
13	0.02160643135066345	0.03720179523805297	0.09510483422763756	0.7383630911380747	-1.713194431313722e-20	-1.7211040753326023e-19	0.10251734260648966	0.06401473202779807
14	0.0218015966186535	0.03741465938530054	0.09425189669371166	0.7275532341129102	-1.6902230823182302e-20	-1.691572212434904e-19	0.11187820679964616	0.066316662393732
