state	expected_sick_days
exposed-1	2.998817227622384
exposed-2	3.99803425873252
exposed-3	5.996668184372236
recovered	-0.0
symptoms-1	9.994335802451994
symptoms-2	6.664000881198119
symptoms-3	3.3325557369942413
