state	speed_discomfort	minimize_discomfort
exposed-1	0.7646177002583501	0.6793567824194522
exposed-2	1.544682227433082	1.3724379481163385
exposed-3	3.1205701631921934	2.7726019212790063
recovered	-0.0	-0.0
symptoms-1	6.3041821576096	5.601216011635895
symptoms-2	4.83294252302194	4.312376282334069
symptoms-3	1.6286644950638616	1.4563106795457372
