	AAPL	SPY	TSLA	MU	AXP	COST
AAPL	0.003626731153189919	0.0008322128416000795	0.0032544937536616134	-1.9471940633548713e-05	0.001075858668616742	0.001049113255732865
SPY	0.0008322128416000795	0.001292317952334005	0.0024208597314274924	0.002774948789024002	0.0018247617594232077	0.0013401000408432187
TSLA	0.0032544937536616134	0.0024208597314274924	0.02670344538480391	-0.0009726179957456847	0.005524767176930879	0.0017540700448459676
MU	-1.9471940633548713e-05	0.002774948789024002	-0.0009726179957456847	0.01733018127857008	0.004026910871444236	0.0016151428817120892
AXP	0.001075858668616742	0.0018247617594232077	0.005524767176930879	0.004026910871444236	0.004724791004939618	0.0020406707316928635
COST	0.001049113255732865	0.0013401000408432187	0.0017540700448459676	0.0016151428817120892	0.0020406707316928635	0.0040551022317653306
