index	u_check
0	1.6722992613612364
1	-1.1520953475076383
2	-1.2351825827057492
3	-0.2885035031677541
4	0.36920157289926525
5	0.4305984865780459
6	0.1886436089056598
7	-0.024803169499072047
8	-0.08902455795003922
9	-0.05238364157697538
10	-0.0007812574431825536
11	0.021550489733584186
12	0.016620045538680347
13	0.0037058434807925103
14	-0.003907035561686083
15	-0.004320374934108473
16	-0.001560554185528472
17	0.0006237459494981418
18	0.0011022074214585194
19	0.0005625648332771822
20	-3.136392840477381e-05
21	-0.0002504604179947353
22	-0.0001709926280874524
23	-2.376128533154701e-05
24	5.2173939116466236e-05
25	4.8159840596199504e-05
26	1.430103335840207e-05
27	-9.01791779432931e-06
28	-1.243770513402081e-05
29	-5.485089228027576e-06
30	1.0199673464235718e-06
31	2.9818590679718755e-06
32	1.7817385636834436e-06
33	1.0044169668012889e-07
34	-6.498690774505653e-07
35	-5.191190164200923e-07
36	-1.1800736165218407e-07
37	1.241242835177284e-07
38	1.393579088287531e-07
39	5.2163831146785806e-08
40	-1.8224839536797844e-08
41	-3.461332856034246e-08
42	-1.8074770105206777e-08
43	7.604670772835821e-10
44	7.90565796470265e-09
45	5.511369629640203e-09
46	8.44844616815267e-10
47	-1.6177261478688456e-09
48	-1.534289841760844e-09
49	-4.721140288571878e-10
50	2.759533926963326e-10
51	3.950255455557863e-10
52	1.7867854916012098e-10
53	-2.898858627763947e-11
54	-9.395415897525427e-11
55	-5.738883809471703e-11
56	-4.067963119768113e-12
57	2.0327448510842825e-11
58	1.6618453414915665e-11
59	3.973796758942258e-12
60	-3.828014934287639e-12
61	-4.433119235082097e-12
62	-1.7080290764320902e-12
63	5.441108510348372e-13
64	1.0947050731094828e-12
65	5.848101188022788e-13
66	-1.4334687616800266e-14
67	-2.482139869870965e-13
68	-1.769116026844744e-13
69	-2.937210938025736e-14
70	5.0271084624376493e-14
71	4.894650911684055e-14
72	1.560516901861091e-14
73	-8.40270270712454e-15
74	-1.2527915837641206e-14
75	-5.808380194033114e-15
76	8.150398247752164e-16
77	2.960504868854501e-15
78	1.8483238593378737e-15
79	1.5763232917925584e-16
80	-6.350895329020898e-16
81	-5.316181701284998e-16
82	-1.332877381922613e-16
83	1.179166374512591e-16
84	1.4097794248153548e-16
85	5.586899311923805e-17
86	-1.6160778147963182e-17
87	-3.460227730693457e-17
88	-1.890690168452189e-17
89	1.425952744650364e-19
90	7.788549643246503e-18
91	5.6760437766846764e-18
92	1.0135629411501738e-18
93	-1.5604924307210182e-18
94	-1.56074862247126e-18
95	-5.14867683426047e-19
96	2.5522240417292817e-19
97	3.971337063681566e-19
98	1.8865328245171677e-19
99	-2.2502974947259658e-20
